,유적지명,시도명,시군구명,경도,위도
1341,포초골미륵좌상,경기도,여주시,127.5112433,37.39069709
1342,금선정,경상북도,영주시,128.5281552,36.89548437
1343,성락원,서울특별시,성북구,126.9991702,37.59656467
1344,정충사,충청남도,홍성군,126.5270807,36.55160341
1345,대한성공회강화성당,인천광역시,강화군,126.4862818,37.74857891
1346,투구봉,경상북도,울릉군,130.8276938,37.47736234
1347,연대도패총,경상남도,통영시,128.4010594,34.7386474
1348,용계리청자요지,전라북도,고창군,126.6356265,35.47994922
1349,전곶교,서울특별시,성동구,127.0457338,37.55420919
1350,울산경상좌도병영성,울산광역시,중구,129.3461335,35.57783498
1351,경주동천동마애삼존불좌상,경상북도,경주시,129.2311152,35.85936296
1352,경주표암,경상북도,경주시,129.2311379,35.85240487
1353,답곡리사지,경기도,연천군,127.0849921,38.20311024
1354,당하리지석묘군,경기도,파주시,126.7421045,37.74568518
1355,아양동석불입상,경기도,안성시,127.2631952,37.00577161
1356,이평리석불입상,경기도,이천시,127.3697407,37.22576536
1357,극락보전,경기도,여주시,127.6616321,37.29758828
1358,조천신장,대전광역시,대덕구,127.4254273,36.36124747
1359,대곡리공룡발자국화석,울산광역시,울주군,129.1703632,35.60947262
1360,대안동쇠부리터,울산광역시,북구,129.3863137,35.66858493
1361,천전리지석묘군,강원도,춘천시,127.77635,37.92959214
1362,초봉리고인돌,충청남도,공주시,127.0719631,36.37683303
1363,김옥균선생유허지,충청남도,공주시,127.1261022,36.61577318
1364,김종서유허지,충청남도,공주시,127.1548693,36.53125581
1365,신여량장군정려,전라남도,고흥군,127.2981648,34.78237349
1366,시천원리은행나무,경상남도,산청군,127.8340505,35.2744205
1367,다랑이논,경상남도,남해군,127.8959556,34.72753537
1368,우산봉화대,경상남도,사천시,127.9659386,35.05199009
1369,산청읍청정,경상남도,산청군,127.9686231,35.31030021
1370,옥녀봉봉수대,경상남도,거제시,128.7149025,34.85874439
1371,보문사극락전,경상북도,예천군,128.5603623,36.65475971
