,사업장명,시도명,시군구명,경도,위도
912,한얼문예박물관,강원도,횡성군,128.07193094834372,37.48577536650984
913,에디슨과학박물관,강원도,강릉시,128.8963292082689,37.794559876542294
914,원주허브팜식물박물관,강원도,원주시,127.92352040148815,37.30583099641683
915,호야지리박물관,강원도,영월군,128.26191711155212,37.297205344367335
916,태백석탄박물관,강원도,태백시,128.9496977894314,37.11580217964543
917,양구근현대사박물관,강원도,양구군,127.98953095242305,38.12076892653638
918,일현미술관,강원도,양양군,128.67815274844176,38.058052389610786
919,라디오스타박물관,강원도,영월군,128.47620618694756,37.182666708628844
920,아리랑박물관,강원도,정선군,128.6706483766952,37.372663977842706
921,인제스피디움 클래식카 박물관,강원도,인제군,128.295357,38.0026094
922,의암 류인석 기념관,강원도,춘천시,127.569527,37.7454918
923,어촌민속전시관,강원도,삼척시,129.32648679123128,37.2651790945511
924,월정사성보박물관,강원도,평창군,128.60182187052666,37.715771237181336
925,고려궁박물관,강원도,평창군,128.64694619055356,37.61606979295924
926,하슬라미술관,강원도,강릉시,129.00906245711383,37.70374971536552
927,석봉도자기미술관,강원도,속초시,128.58167876499155,38.19527657030691
928,내설악백공미술관,강원도,인제군,128.3608276856886,38.210565915458446
929,뮤지엄 산(청조갤러리),강원도,원주시,127.82237914698362,37.415429093368836
930,양구군립박수근미술관,강원도,양구군,127.98071667070477,38.093657521394526
931,국제현대미술관,강원도,영월군,128.50564290296796,37.205258623677366
932,쾌연재도자미술관,강원도,영월군,128.36726900721763,37.21536688958843
933,만해문학박물관,강원도,인제군,128.31561794333248,38.183673664980645
934,영월화석박물관,강원도,영월군,128.3399688142678,37.29024811443569
935,애니메이션박물관,강원도,춘천시,127.691893,37.8930062
936,LIUSEUM 세계민족악기전시관,강원도,춘천시,127.52475449779915,37.788766878315265
937,태백고생대자연사박물관,강원도,태백시,129.03875959852382,37.09196269157468
938,강릉커피박물관,강원도,강릉시,128.78376343985133,37.64952737392586
939,뮤지엄 산(페이퍼갤러리),강원도,원주시,127.82237914698362,37.415429093368836
