,체험지명,시도명,시군구명,경도,위도
356,아델라인공방,서울,종로구,126.9912814,37.57214078
357,지엠툴,서울,종로구,126.9927326,37.57290402
358,한국황실문화갤러리,서울,종로구,126.9926646,37.57344822
359,월인공방,서울,종로구,126.9904368,37.57337238
360,갤러리엠,서울,종로구,126.9869252,37.57422258
361,상미화랑,서울,종로구,126.9912914,37.5742401
362,공평아트샵,서울,종로구,126.9884218,37.57370376
363,낙원표구사,서울,종로구,126.987086,37.57398113
364,세종기획,서울,종로구,126.9921848,37.57208589
365,아카데미JHK,서울,종로구,126.988494,37.57520303
366,가원공방,서울,종로구,126.992307,37.57235259
367,반지야놀자 종로본점,서울,종로구,126.9892463,37.57065487
368,심지캘리그라피,서울,종로구,126.9899205,37.57436703
369,레터룸,서울,종로구,126.988453,37.5770879
370,갤러리미래,서울,종로구,126.9862321,37.5756677
371,인영갤러리 .인영아트센터,서울,종로구,126.9862527,37.57464057
372,갤러리그림손,서울,종로구,126.9861441,37.57431619
373,코베이옥션,서울,종로구,126.9862435,37.57524243
374,다보성갤러리,서울,종로구,126.9861801,37.57533973
375,유림액자,서울,종로구,126.9862844,37.57449641
376,상원당,서울,종로구,126.9864022,37.5743811
377,갤러리고도,서울,종로구,126.9852834,37.57587121
378,한국전각협회,서울,종로구,126.9886164,37.574266
379,이레자수,서울,종로구,126.9898118,37.57421205
380,갤러리&,서울,종로구,126.9896306,37.57487157
381,소현화랑,서울,종로구,126.9886117,37.575349
382,칸옥션,서울,종로구,126.9866921,37.57393784
383,갤러리 바움,서울,종로구,126.9858269,37.57559197
384,흙고미술,서울,종로구,126.9865381,37.57383691
385,수운화랑,서울,종로구,126.9871901,37.57386221
386,실크로드,서울,종로구,126.9868142,37.57438475
387,해와달,서울,종로구,126.9870769,37.57397032
388,글마재,서울,종로구,126.9864972,37.57452527
389,윤옥션,서울,종로구,126.9861904,37.57478472
390,올댓갤러리,서울,종로구,126.9858269,37.57559557
391,신화랑,서울,종로구,126.9865176,37.57451986
392,하이난,서울,종로구,126.9869093,37.57421897
393,고은당,서울,종로구,126.9860445,37.57429096
394,쿤스갤러리,서울,종로구,126.9872819,37.57370275
395,초대화랑,서울,종로구,126.987249,37.57370725
396,고미술미고,서울,종로구,126.9864022,37.57435857
397,겔러리천 천보사,서울,종로구,126.9860988,37.57430538
398,대륙,서울,종로구,126.9864814,37.57440904
399,미래화랑,서울,종로구,126.9866807,37.57421535
400,국제옥션,서울,종로구,126.9861893,37.57478472
401,갤러리소아,서울,종로구,126.9868709,37.57404238
402,보경화랑,서울,종로구,126.9866003,37.57431985
403,모니카아트스페이스,서울,종로구,126.9872241,37.57379644
404,아트필리아갤러리,서울,종로구,126.9864475,37.57439191
405,엄재권민화연구소,서울,종로구,126.9855008,37.57574149
406,이조공예,서울,종로구,126.9855008,37.57574149
407,금마화랑,서울,종로구,126.9872038,37.57371805
408,슈가플라워아뜰리에a,서울,종로구,126.9855008,37.57574149
409,행복한바느질,서울,종로구,126.9858233,37.57672001
410,기린갤러리,서울,종로구,126.9871041,37.57393428
411,인사고옥션,서울,종로구,126.9864022,37.57435857
412,갤러리타블로,서울,종로구,126.9859084,37.57565685
413,아트프라이스(주),서울,종로구,126.9866785,37.57394505
414,유카리화랑,서울,종로구,126.9856187,37.5751919
415,리을미을,서울,종로구,126.9887226,37.56850415
416,서울중구문화원 예문갤러리,서울,중구,126.9864985,37.56755517
417,엔틱플리마켓,서울,종로구,126.9866826,37.56998607
418,디아트플랜트요갤러리,서울,중구,126.9885135,37.56643815
419,중앙공예관,서울,종로구,126.9865441,37.57225837
420,일신당필방,서울,종로구,126.9865656,37.57215746
421,국제자수원,서울,종로구,126.9865293,37.57229441
422,햇빛담요재단,서울,중구,126.9884999,37.56633903
423,갤러리송움,서울,종로구,126.9868738,37.570442
424,에이비에스갤러리,서울,종로구,126.9869482,37.57218633
425,판화방,서울,종로구,126.9863482,37.57232682
426,현대여성미술협회,서울,종로구,126.9870049,37.57146194
427,민예서울,서울,중구,126.9865438,37.56760202
428,아취사,서울,종로구,126.986158,37.57263314
429,하나당표구사,서울,종로구,126.9861625,37.57275567
430,갤러리홍,서울,종로구,126.9868962,37.57146914
431,더원 미술세계,서울,종로구,126.9865066,37.57294312
432,인사동공방,서울,종로구,126.9859994,37.5730665
433,참치공방 종각본점,서울,종로구,126.9842385,37.57071558
434,한우공방,서울,종로구,126.9842566,37.5707345
435,수정공방,서울,종로구,126.9865067,37.5722944
436,연,서울,종로구,126.9861489,37.57287821
437,서울공예사,서울,종로구,126.9859541,37.57311244
438,나인원갤러리 & 착한갤러리 리세일,서울,종로구,126.986656,37.57323326
439,토방표구사,서울,종로구,126.9862734,37.57277821
440,백산필방,서울,종로구,126.9863119,37.57264757
441,아트가가,서울,종로구,126.9858908,37.57293674
442,내산표구사,서울,종로구,126.9861625,37.57275477
443,OKART,서울,종로구,126.9866695,37.57323506
444,현조당,서울,종로구,126.9864386,37.57313773
445,예가한지공예학원,서울,종로구,126.9855467,37.57261865
446,포터리밈,서울,종로구,126.986004,37.57282773
447,어글리프로젝트,서울,종로구,126.9848447,37.57354839
448,KS옥션,서울,종로구,126.9868144,37.57328553
449,dslashp,서울,종로구,126.987899,37.57276307
450,라운디드 플랫,서울,종로구,126.987231,37.57349281
451,고미술312,서울,종로구,126.9870273,37.57319546
452,한국미술센터,서울,종로구,126.9873352,37.57300808
453,석포화실,서울,종로구,126.9881367,37.57278832
454,남정예 민화연구원,서울,종로구,126.9885938,37.57424798
