,상호명,시도명,시군구명,경도,위도
299,청해진,강원도,원주시,127.83593661444,37.3642674368716
300,하이리츠,강원도,원주시,127.960987989458,37.3272940013043
301,캠핑클럽레스피아IN춘천,강원도,춘천시,127.849635027623,37.8629110523588
302,연화민박,강원도,삼척시,129.343624788555,37.2327558284476
303,사계절펜션,강원도,춘천시,127.564917676358,37.8178455678231
304,트리플글램핑장,강원도,양양군,128.685311512409,38.0546742993167
305,정든모텔,강원도,인제군,128.244208167653,38.139625075311
306,더갤러리펜션,강원도,양양군,128.593032355504,38.0695468412801
307,올리브스파펜션,강원도,속초시,128.540186820459,38.1828568915533
308,수리봉펜션,강원도,인제군,128.124298347564,37.977731857715
309,소금강의봄,강원도,강릉시,128.689176647233,37.8478624397394
310,행운모텔,강원도,양양군,128.628849321125,38.1183471871255
311,모텔칼즈배드,강원도,속초시,128.564983764871,38.2070664291531
312,카라반파크,강원도,홍천군,128.279947572145,37.860574883756
313,블리스펜션,강원도,강릉시,128.84655400314,37.8651447910086
314,리츠파크펜션,강원도,강릉시,128.902732812355,37.8055131445278
315,숨어있는집,강원도,강릉시,128.917756615601,37.7953958091287
316,광동파크장,강원도,삼척시,128.944636569557,37.3466605866779
317,전원가든,강원도,원주시,127.824324100465,37.2750853929143
318,스카이쌍둥이펜션,강원도,영월군,128.282331744868,37.3353980254412
319,강촌숲속의집민박,강원도,춘천시,127.629942559153,37.8044080762413
320,송지수힐링하우스&카페,강원도,평창군,128.743832876379,37.6882460923613
321,진흥민박,강원도,정선군,128.836876483187,37.21056833199
322,호수를낚는어부펜션,강원도,평창군,128.716536889316,37.6653573926321
323,더베네치아스위트,강원도,춘천시,127.735099847787,37.8746567492518
324,라마다,강원도,평창군,128.717970636635,37.6600505257881
325,솔게스트하우스,강원도,평창군,128.321119837089,37.5893436703199
326,산들산들펜션,강원도,고성군,128.44167630885,38.4295276302945
327,명성산장,강원도,인제군,128.3381246706,38.0419317745562
328,굿모닝펜션,강원도,삼척시,129.313304141254,37.2843123487643
329,원투쓰리펜션,강원도,화천군,127.523709937758,38.0787273976773
330,가래막골산장,강원도,인제군,128.46699281252,38.0264888958232
331,메이페어카펠라,강원도,평창군,128.305723745489,37.5902766104591
332,김종구라마다설악해양호텔,강원도,속초시,128.610098081904,38.1742525663668
333,캠핑엔비치,강원도,고성군,128.572363637741,38.2410511800158
334,폭포산장,강원도,춘천시,127.624353489107,37.8025252410548
335,산내들,강원도,삼척시,129.10694047909,37.3646351464943
336,벨마레펜션,강원도,고성군,128.547445912072,38.295515993272
